epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,0.10458245703384572,0.9137383153949801,0.9208223401114121,0.7856113563846628,0.6497876703588891,0.6667975815727762
2,0.09632794710787426,0.9202578569168086,0.92349181696299,0.7496277665427338,0.6573530693537876,0.6752045803281347
3,0.09149757472573246,0.9234747745790282,0.925642417881768,0.7616840981024898,0.6524032848215026,0.6684589412478908
4,0.08655705300445107,0.9258268167734487,0.9290613428974263,0.7589396194713872,0.6542204705350991,0.6688222110040952
5,0.07866622591048435,0.9332696769045838,0.9349310560965735,0.7699035258243309,0.6620768775484256,0.6712652795777384
6,0.07825497462535275,0.9324841826410084,0.9328788825170087,0.766337541337628,0.6573634356356021,0.6712716638385017
7,0.07202832370926118,0.9369274998093827,0.9385884219808398,0.7842917343465293,0.6510301671915889,0.6698148448034751
8,0.06937762693869975,0.9396337553584816,0.9403986855229997,0.7847979398139262,0.6570662904113077,0.6766343662408659
9,0.06704271404100251,0.9418644972488701,0.9431391117588316,0.7786175229408184,0.6629822994038602,0.6747353909292255
10,0.06134179852935472,0.946949197214415,0.9473996699776174,0.7884426149341703,0.6685876260056126,0.678709153850851
11,0.061422100052409945,0.9477612675941741,0.9477321985832557,0.7964456219706386,0.6534792820486431,0.673427585201097
12,0.06055551688746036,0.9465347269863447,0.9476850706135127,0.7763665398446525,0.6565630638508967,0.6766634379107098
13,0.057210990894019105,0.9505060892572846,0.9512043735590255,0.7940307753426689,0.6603983127813935,0.6759812316495065
14,0.05363548556631428,0.9518200021907501,0.9522880853765837,0.8084113010130692,0.6595700899030381,0.6768548827864824
15,0.05304228839759644,0.9535729085443424,0.9537947487368921,0.8080925036805847,0.6691451579347422,0.6783858848579883
