stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,1,0.01,0.7308946639706537,0.4453689172328762,0.5041108420917266,0.5754161368679086,0.5469404387435816,0.5988384908485251
unfreeze_layer3,2,2,0.01,0.5805190665544088,0.5393585222927042,0.5880146414352693,0.5345021549417582,0.5530285277694472,0.6080032413873672
unfreeze_layer3,3,3,0.01,0.5224140110196812,0.5841156403979928,0.6206529254209006,0.5663768272366674,0.5693448744061437,0.6188106100347929
unfreeze_layer3,4,4,0.01,0.4793838205361607,0.6123084654637935,0.6429662044695788,0.527633207828741,0.5644123828328403,0.6165552381191075
unfreeze_layer3,5,5,0.01,0.45186502027448855,0.6331677400517334,0.657868785888062,0.4886340223953699,0.5993769007568154,0.6298091957002727
unfreeze_layer3,6,6,0.01,0.4403238403796688,0.638513218789886,0.6636475213579119,0.5055433951603826,0.6303285056073337,0.6460751801046748
unfreeze_layer3,7,7,0.01,0.4012397252796853,0.6689505241510405,0.683974746298602,0.4964043541860082,0.6232982287591023,0.6440039522970136
unfreeze_layer3,8,8,0.01,0.3829442582310268,0.6821150321127831,0.6924205447383284,0.5012289295005466,0.6060844134497818,0.6261588499216654
unfreeze_layer3,9,9,0.01,0.37234478335759974,0.6910681342914031,0.7025425723403861,0.5172374837905273,0.6343886967940598,0.6485947940895966
unfreeze_layer3,10,10,0.01,0.3449877869963365,0.7113160452689693,0.7157112688804306,0.5086027937691386,0.624388066954158,0.6478005210274119
unfreeze_layer3,11,11,0.01,0.3319695678926427,0.7166622136032822,0.7246794610255717,0.5385112135667834,0.6117089847909093,0.639836837896234
unfreeze_layer3,12,12,0.001,0.26580747957096096,0.7708451365253353,0.7689316586279898,0.4929887916152901,0.6573218048200199,0.6742115870422104
unfreeze_layer3,13,13,0.001,0.23841863471549418,0.7968259437934123,0.7908591281323115,0.5017441421435686,0.6573630849817107,0.6701672990000365
unfreeze_layer3,14,14,0.001,0.22157653956939857,0.8119151671995508,0.8059296801002336,0.5063786230643867,0.6632086175808501,0.677890247730648
unfreeze_layer3,15,15,0.001,0.21177231648699632,0.8183263609248383,0.8112887859904055,0.5122951675375165,0.6666799815389985,0.6779248961894179
unfreeze_layer3,16,16,0.001,0.20323988389346506,0.8251128479225613,0.8168179437515477,0.5183423805735252,0.666508384831124,0.6774993903882428
unfreeze_layer3,17,17,0.001,0.19373382145329948,0.8337736673948694,0.8255557100364322,0.5248630686296403,0.6708354918572469,0.6801981425324346
unfreeze_layer3,18,18,0.0001,0.18241194745806782,0.840949509768109,0.8336656724444111,0.5213983857880902,0.6732065662643791,0.6840177316396328
unfreeze_layer3,19,19,0.0001,0.17789649501909455,0.8445469157698037,0.8372540532796701,0.5286578528764772,0.6740325971241872,0.6827121386721061
unfreeze_layer3,20,20,0.0001,0.1792067388820364,0.8440056745748795,0.8351415603464607,0.5230336331324295,0.6687502654763676,0.680319939358029
unfreeze_layer3,21,21,0.0001,0.17594955675815752,0.8507074418248937,0.8416106531046232,0.5264025996163332,0.6710015327211979,0.6790707305179905
unfreeze_layer3,22,22,0.0001,0.17385858977672333,0.8479610828879743,0.8396708181112124,0.5266867722160725,0.6699254430149876,0.679963392784815
unfreeze_layer3,23,23,0.0001,0.17522056498525312,0.8472506052750604,0.8383042102800773,0.527595109328991,0.6689699841671697,0.6776780078613771
