,precision,recall,f1-score,support
angry,0.5177182368193605,0.6252609603340292,0.5664302600472814,958.0
disgust,0.5619834710743802,0.6126126126126126,0.5862068965517241,111.0
fear,0.5175644028103045,0.431640625,0.47071352502662406,1024.0
happy,0.8493840985442329,0.855129650507328,0.8522471910112359,1774.0
sad,0.5556577736890524,0.4843624699278268,0.517566409597258,1247.0
surprise,0.7928921568627451,0.7785800240673887,0.7856709168184578,831.0
neutral,0.5718496683861459,0.6293592862935928,0.5992277992277992,1233.0
macro avg,0.6238642583123174,0.6309922326775397,0.6254375711829114,7178.0
weighted avg,0.6480965230873128,0.6482307049317358,0.646245756786783,7178.0
