,precision,recall,f1-score,support
angry,0.367047308319739,0.2348643006263048,0.2864417568427753,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.30802292263610315,0.2099609375,0.2497096399535424,1024.0
happy,0.4775176514306949,0.7243517474633596,0.5755879059350504,1774.0
sad,0.35490463215258855,0.41780272654370487,0.3837937384898711,1247.0
surprise,0.6392961876832844,0.5246690734055355,0.5763384005287508,831.0
neutral,0.4346978557504873,0.36171938361719386,0.39486498450641877,1233.0
macro avg,0.36878379399612815,0.35333830987944265,0.35239091803662986,7178.0
weighted avg,0.42128263752955847,0.4357759821677347,0.4173311992378463,7178.0
