epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,0.6659167605641503,0.7637731146465374,0.806823049144648,0.9756188821709529,0.656115370832637,0.6792359754955252
2,0.4187151291391245,0.8593818725768811,0.8661460024110139,1.0077507370025023,0.6575338336020177,0.6774495524027161
3,0.36478942912025086,0.8762538649061302,0.8808481527353619,1.067125514533877,0.6593812790947028,0.6780382446189749
4,0.329908678084733,0.8835465287425625,0.8878185523312193,1.0893331750760096,0.6531852771128029,0.6698688405663102
5,0.30272290867208823,0.8970760055853914,0.8992850579438354,1.1310865179171545,0.6557170787698059,0.6730576811361862
6,0.28221489433254676,0.9032648156965005,0.9051535959323204,1.1613110199207213,0.6531306804063679,0.6706093688919749
7,0.26460435975158014,0.9085156351802787,0.9108616247680016,1.1854801108612831,0.660625516592944,0.6735706574747977
8,0.24246387041050138,0.9150316874593323,0.9162397536978222,1.2368291225167518,0.6653345343252132,0.6778031475321449
9,0.23462503037773247,0.9179892248557687,0.9193535783121172,1.262110741130151,0.6629790388630316,0.6770775693022272
10,0.2146763917302503,0.922197453815939,0.9253579455416966,1.2927840898261254,0.6621951384770869,0.6756105321916109
