true_emotion,predicted_emotion,count,true_class_rate
sad,neutral,263,0.21090617481956697
fear,sad,247,0.2412109375
neutral,sad,185,0.15004055150040552
fear,surprise,151,0.1474609375
fear,neutral,133,0.1298828125
angry,neutral,125,0.1304801670146138
angry,sad,122,0.12734864300626306
sad,angry,117,0.09382518043303929
fear,angry,107,0.1044921875
sad,fear,106,0.08500400962309543
