,precision,recall,f1-score,support
angry,0.46320346320346323,0.5602094240837696,0.5071090047393365,191.0
disgust,0.375,0.13636363636363635,0.2,22.0
fear,0.3482587064676617,0.3431372549019608,0.345679012345679,204.0
happy,0.8584615384615385,0.788135593220339,0.8217967599410898,354.0
sad,0.41454545454545455,0.4578313253012048,0.4351145038167939,249.0
surprise,0.7397260273972602,0.6506024096385542,0.6923076923076923,166.0
neutral,0.516260162601626,0.516260162601626,0.516260162601626,246.0
macro avg,0.5307793360967149,0.4932199723015844,0.5026095908217454,1432.0
weighted avg,0.5758927101511261,0.5642458100558659,0.5677087847879443,1432.0
