,precision,recall,f1-score,support
angry,0.33575129533678755,0.33820459290187893,0.3369734789391576,958.0
disgust,0.3333333333333333,0.02702702702702703,0.05,111.0
fear,0.3057142857142857,0.1044921875,0.15574963609898107,1024.0
happy,0.5416098226466576,0.6713641488162345,0.5995469418575384,1774.0
sad,0.35447437011294525,0.3271852445870088,0.3402835696413678,1247.0
surprise,0.5941676792223572,0.5884476534296029,0.5912938331318017,831.0
neutral,0.3450327186198691,0.47039740470397406,0.39807824296499655,1233.0
macro avg,0.40144050071231935,0.3610168941379609,0.35313224323340614,7178.0
weighted avg,0.41706954832852633,0.4321538032878239,0.4120902417519499,7178.0
