true_emotion,predicted_emotion,count,true_class_rate
sad,neutral,200,0.16038492381716118
fear,sad,197,0.1923828125
neutral,sad,162,0.13138686131386862
sad,angry,133,0.10665597433841219
fear,angry,121,0.1181640625
angry,sad,118,0.12317327766179541
sad,fear,118,0.0946271050521251
fear,surprise,97,0.0947265625
fear,neutral,95,0.0927734375
happy,neutral,86,0.048478015783540024
