,precision,recall,f1-score,support
angry,0.5603864734299517,0.605427974947808,0.5820371299548419,958.0
disgust,0.6238532110091743,0.6126126126126126,0.6181818181818182,111.0
fear,0.5547128927410617,0.5,0.5259373394966615,1024.0
happy,0.8553629469122427,0.8900789177001127,0.8723756906077348,1774.0
sad,0.553556827473426,0.5429029671210907,0.5481781376518219,1247.0
surprise,0.7864768683274022,0.7978339350180506,0.7921146953405018,831.0
neutral,0.6455379482902419,0.6277372262773723,0.6365131578947368,1233.0
macro avg,0.6542695954547859,0.6537990905252924,0.6536197098754454,7178.0
weighted avg,0.6730751949900223,0.6760936193925885,0.6741446414407374,7178.0
