epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,1.6366593992337801,0.16257480015740616,0.1854356668454704,1.5019070136007115,0.13472364947885876,0.1738023148447748
2,1.5455218476496955,0.18514892464042584,0.2091953026686787,1.4439146631686115,0.19994712778625315,0.24761655706008204
3,1.4542684662503085,0.23196852353453806,0.26173627423207074,1.2646486401973285,0.29577958479524274,0.36529670770155853
4,1.3652149135517702,0.27440580908002016,0.3106511883004125,1.1493672027820494,0.3356184342836223,0.40963924573017224
5,1.295053914745847,0.30713564818624495,0.3486077612573138,1.0858033763407,0.3721795392424564,0.45257685556675065
6,1.2682859974013767,0.3226697634734114,0.3571105152577598,1.0523081594227914,0.3673503349926238,0.4426791526950152
7,1.243186084717308,0.3347984768254118,0.3694209880155243,1.0335550373854954,0.3825551011761359,0.45940775738891615
8,1.2161428868860564,0.35514795624764545,0.3847633123359514,0.9951155998980957,0.4238020628024716,0.488900485152789
9,1.183474087190128,0.3716164747619138,0.39858141912860845,0.959390482752996,0.4168465375646287,0.4906978800615896
10,1.1766339839531303,0.3759354958264062,0.4018366773872975,0.9554721239136487,0.43461834850453274,0.4971735687685528
11,1.166286115168584,0.3695268908067288,0.40533698178453675,0.9483056119094743,0.45407482795213705,0.5129254661818073
12,1.1485345585712814,0.3848332798933744,0.4147219545017939,0.9472405466883855,0.40869870821117604,0.4978432019747146
13,1.1325980773572422,0.39362420179054775,0.4190105645154827,0.9461586735389789,0.4359765358220217,0.5028361949510082
14,1.1247218560912282,0.3980360679869267,0.42758162849526715,0.9251209456746171,0.45452252852205477,0.5378702360530261
15,1.1086006562145756,0.40820852062888247,0.43351364362635525,0.9171077684242966,0.47692066973521047,0.5358332908616392
16,1.1002557574929899,0.41204172423159824,0.4391264681876078,0.9130252981850494,0.4542907742422505,0.5122482208515405
17,1.0956587813311056,0.4213908267622391,0.4418026121600589,0.9080210144096136,0.4920324137970458,0.5460083604362436
18,1.0949114064387093,0.4202312311840732,0.44306014617088013,0.886676429289974,0.4992127258201616,0.5543279837845483
19,1.0834922034598629,0.42689468162402716,0.45013850415971857,0.8894967966378774,0.49244385330634804,0.5478472651316005
20,1.0789264360952915,0.4253931313493458,0.4447675304575261,0.8679820928008715,0.48657134345666436,0.5497811010829499
21,1.05982463863816,0.4381028453086288,0.4564466080406932,0.8767942637101283,0.49129842917444005,0.5528226479524835
22,1.0583959028878547,0.4399835323433609,0.4591576256893359,0.8607720659169585,0.4990912536538016,0.5544648813238153
23,1.0571362767141483,0.4386025651662428,0.456087211997948,0.8459742040584312,0.4864412140170521,0.5608175531462747
24,1.0527461443741286,0.43755642357638797,0.4591625944081169,0.8658586818166726,0.5087396276034807,0.561007366887117
25,1.041785067668423,0.44534693093177374,0.46894991097366057,0.8526588255520067,0.5256336571718888,0.5802519971723351
26,1.0430104564718936,0.4435680886044345,0.46525522516011547,0.8423724367643483,0.5217138111756884,0.5646738053219627
27,1.0271873746204683,0.4541090970576608,0.4745194917224659,0.8359594127857727,0.5031323689846449,0.5567537524491898
28,1.0336954848049105,0.45015394417430693,0.46997653004660667,0.8452697926282052,0.5050795502617131,0.5618054396760152
29,1.0213628818553373,0.45299220369253623,0.4730465710509069,0.8308091561968733,0.5140122537857367,0.5669629929060217
30,1.0120472028171588,0.45638056997225024,0.4754089402070384,0.8192762236146561,0.5127942836236166,0.5756068733826826
