epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,0.4344003391981429,0.6622033618007561,0.6982304273762522,0.5597832613705758,0.5940192171094237,0.6300241975986909
2,0.4181587434822138,0.6653789176828603,0.6998936661011568,0.5467629312638206,0.5985795622677588,0.6347328667094663
3,0.41526577449642127,0.6652040642510509,0.6989223474403092,0.5408264177186148,0.5981471939518499,0.6318289182494271
4,0.40221491008864324,0.6763749489222874,0.7053355453899617,0.5432663505501033,0.6001595015065357,0.6335030681025161
5,0.40007846056203955,0.6784456171740724,0.7103719432478443,0.5459116117879489,0.5976391369017168,0.6351386892825949
6,0.39643520336064575,0.6838218546196101,0.7120789556214354,0.5408704419169277,0.5928433970811877,0.6320193140668516
7,0.3853851671378316,0.692417869811087,0.7165958263719012,0.53583217294374,0.5947727177769796,0.6344544742238771
8,0.38606381703744413,0.6864817153013796,0.7114896772409351,0.5341872925542372,0.5971847584933778,0.6320863896347981
9,0.3772132581447253,0.6963503765970855,0.7181621808097146,0.5357334593447244,0.5990218474801672,0.6349838960557715
10,0.3714489621308535,0.696449216986952,0.7199081621152258,0.5368187034171633,0.598595195448366,0.6319184859359901
11,0.3671205868468971,0.6993103730174905,0.7226599619699513,0.5331762353717657,0.6019672295935322,0.6368929902332648
12,0.35848566533251486,0.7079755965163486,0.7273730942027474,0.5338041315926076,0.6014194302795881,0.6389645779198309
13,0.35774927182026683,0.7102198629640988,0.7275920545425693,0.5356905886520492,0.6005336304329436,0.6351531332477549
14,0.3576058711705366,0.7073269861142911,0.726391285520756,0.5361568191740986,0.5929859419477116,0.6339786671595337
15,0.34916516753250454,0.7155163978352521,0.7307014117469898,0.5324759798598206,0.6065099648802861,0.6407934905271541
