stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,0.0001,1,1.029613641606723,0.41533870442118614,0.49843835535179226,0.7937995553016662,0.505448838367031,0.6002515315869035
unfreeze_layer3,2,0.0001,2,0.78270667401061,0.527051275330212,0.6047568845460665,0.7456838645586154,0.5633917250059836,0.6150044941646897
unfreeze_layer3,3,0.0001,3,0.7023418711141479,0.5798452351371728,0.6399755773482803,0.7084564805030823,0.5701738024374593,0.6386391484207284
unfreeze_layer3,4,0.0001,4,0.6365630730437007,0.6207632045098576,0.6686143366213568,0.6883652915522612,0.6101939784630485,0.6438673629941712
unfreeze_layer3,5,0.0001,5,0.5937447502123202,0.6506338633136247,0.688616948058975,0.6657548275974154,0.6288028167086518,0.6555149492921221
unfreeze_layer3,6,0.0001,6,0.55324374451588,0.676771791571089,0.7072832472807645,0.7068600145781913,0.6083224006492485,0.6433616994277876
unfreeze_layer3,7,0.0001,7,0.5063471395610735,0.7100676425499628,0.7288520899157074,0.7229428930149676,0.6271854586310106,0.6452108244152999
unfreeze_layer3,8,0.0001,8,0.4680676594347153,0.7313204330163204,0.7453333300785664,0.6748622531259517,0.6563585320231582,0.6694367946314981
unfreeze_layer3,9,0.0001,9,0.428320099023147,0.7577183284637161,0.7674142938541987,0.7258754036983132,0.6397978010308968,0.6567326408580472
unfreeze_layer3,10,0.0001,10,0.3948264628576095,0.770480427999949,0.7785649993994832,0.7455738411963194,0.6265279991565009,0.6526950924409752
