stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
single_stage,1,1,0.01,1.5595767546458539,0.18983337547965623,0.2145192287781734,1.3415282565957578,0.2716585841358084,0.32724726875043403
single_stage,2,2,0.01,1.4472376240070697,0.25152112505814966,0.28295408709369674,1.315214969306042,0.29705219191088134,0.3671369325001588
single_stage,3,3,0.01,1.3809829081787386,0.28708938753901325,0.3213521251642526,1.176071826921523,0.340036084885632,0.4135955801544306
single_stage,4,4,0.01,1.3303123400202939,0.31852248605803446,0.34887827277254224,1.1272991059133814,0.37541602584164624,0.4359804019449569
single_stage,5,5,0.01,1.3036250575573582,0.3299704170966609,0.3635668435240488,1.0946921274637096,0.37039763049191843,0.4502551560494538
single_stage,6,6,0.01,1.2691901687904197,0.3397136110339081,0.3772474500527228,1.0941488244392314,0.37912505238575644,0.4618194138211721
single_stage,7,7,0.01,1.2442412857180931,0.35203844601738554,0.3857714879806782,1.038206062084291,0.4124349139270573,0.485365338103475
single_stage,8,8,0.01,1.2080921836670553,0.37400333345426356,0.41090672397854505,1.0296008229671039,0.420245232811996,0.4875910317475952
single_stage,9,9,0.01,1.1950883327555955,0.3892340704691663,0.41590738082291273,1.036712915639844,0.4043441448755016,0.48211176569223724
single_stage,10,10,0.01,1.1630463806430116,0.39478839461642234,0.4239100488575788,0.9780593219949809,0.42823888421520806,0.4781896524749192
single_stage,11,11,0.01,1.1456508862907209,0.40281320813981464,0.43225672231994966,0.9486084496102682,0.44867492881430904,0.4970539337778799
single_stage,12,12,0.01,1.1271822928062851,0.4139535390625425,0.4404930112338595,0.9333816535796853,0.46928650510453007,0.5227805680885059
single_stage,13,13,0.01,1.112492292606174,0.42170852241669826,0.44906193000570965,0.9358028250704243,0.45762730651384487,0.5122710580025925
single_stage,14,14,0.01,1.1071824488604216,0.42496071907917365,0.4514431044645234,0.9324859379891319,0.4687533364124383,0.5228060824098746
single_stage,15,15,0.01,1.089424870309365,0.43795282793744883,0.4632401751665388,0.9202945833837529,0.4835423990905937,0.5239619475535998
single_stage,16,16,0.01,1.0806244950004948,0.42999264956613975,0.45744256147254053,0.8816553751350695,0.46568048803301154,0.5278775697942072
single_stage,17,17,0.01,1.0709602133796572,0.44447235733352286,0.4659741034025283,0.8935819631669579,0.4997398219963584,0.5509067261887737
single_stage,18,18,0.01,1.0587272706118165,0.44969515526065384,0.47364877926428156,0.8916799567717708,0.4703546843179446,0.5251675284069552
single_stage,19,19,0.01,1.047154711746912,0.4562078283141012,0.4757684083516673,0.8978502100768405,0.5109711694951947,0.5524090371737433
single_stage,20,20,0.01,1.0316941252784133,0.46715949388515904,0.4832399930600393,0.889472922298551,0.5013906279750974,0.5582491028788363
single_stage,21,21,0.01,1.0299407318698681,0.46979945900182746,0.4885228996541603,0.9079084375594135,0.4920092095115782,0.5375416111844923
single_stage,22,22,0.01,1.018451708191444,0.4736646735782859,0.490807508261433,0.828695100275897,0.5498836332843323,0.5826835405394618
