,precision,recall,f1-score,support
angry,0.5050403225806451,0.5229645093945721,0.5138461538461538,958.0
disgust,0.6166666666666667,0.3333333333333333,0.4327485380116959,111.0
fear,0.4726190476190476,0.3876953125,0.4259656652360515,1024.0
happy,0.7770961145194274,0.8568207440811725,0.8150134048257373,1774.0
sad,0.5476439790575917,0.4194065757818765,0.4750227066303361,1247.0
surprise,0.7295081967213115,0.7496991576413959,0.7394658753709199,831.0
neutral,0.5134779750164365,0.6334144363341444,0.5671750181554103,1233.0
macro avg,0.5945789003115894,0.5576191527237849,0.5670339088680435,7178.0
weighted avg,0.6042157617034161,0.6104764558372806,0.6030229283161568,7178.0
