stage,epoch,stage_epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_classifier,1,1,0.001,1.6196597749693549,0.27944570994056,0.3346692275761596,1.533304213729885,0.3151379118072404,0.3746137446534188
unfreeze_classifier,2,2,0.001,1.5428320288524349,0.3226772141864454,0.3820650616626029,1.49962758386592,0.34052574424558646,0.4055509253788825
unfreeze_classifier,3,3,0.001,1.522180838810779,0.33107706440892054,0.39043687489525375,1.4908196608779323,0.3350604891828092,0.39973185075121925
unfreeze_classifier,4,4,0.001,1.5133667278919083,0.3390428555350787,0.400032942865985,1.4799243886296343,0.3516719500124549,0.4135429118582117
unfreeze_classifier,5,5,0.001,1.5117019061781294,0.34185474948256334,0.3997722061077433,1.476038045085681,0.343770187734154,0.4058503616146974
unfreeze_last_block,6,1,0.0005,1.464601350050232,0.3622682978487147,0.4232089571818097,1.3816071966383932,0.3943037011767107,0.4566224920701765
unfreeze_last_block,7,2,0.0005,1.3821129548512283,0.39059628160279025,0.4578622326697189,1.3353849067089865,0.409447785562826,0.47700792519295987
unfreeze_last_block,8,3,0.0005,1.343033824673221,0.41146104540673906,0.47724650384496103,1.3044435566726047,0.41726747764143457,0.48642737751386983
unfreeze_last_block,9,4,0.0005,1.3108700041182433,0.43096423269664913,0.49283063676823535,1.2831465733591272,0.43299663605071975,0.49789234304775465
unfreeze_last_block,10,5,0.0005,1.2912547127824712,0.4381628465141848,0.49912618020215865,1.2666229729868395,0.4283829371022296,0.5045348472233355
unfreeze_last_blocks,11,1,0.0001,1.2465780292890996,0.4548804313407336,0.5198326019202844,1.2213688998272194,0.46497804647678426,0.5298902218618209
unfreeze_last_blocks,12,2,0.0001,1.206732880363773,0.479494466526201,0.5381924765284445,1.1952632323374732,0.4733958180826277,0.5396111590734868
unfreeze_last_blocks,13,3,0.0001,1.1716367991569725,0.48419742193615767,0.5487010414982635,1.1785626869999157,0.47393407424128636,0.5408451795397026
unfreeze_last_blocks,14,4,0.0001,1.1482035181803703,0.499081615248891,0.5589514362562467,1.1593943786122658,0.4943999386552574,0.5524573144851015
unfreeze_last_blocks,15,5,0.0001,1.1246299327880016,0.5226191462818972,0.5729076019117947,1.1391903883073389,0.5032761540968317,0.5582421981311837
unfreeze_last_three_blocks,16,1,5e-05,1.0839346894271567,0.5330050418736697,0.5858832424402065,1.0937740335896455,0.5297615916835864,0.5788992039607765
unfreeze_last_three_blocks,17,2,5e-05,1.0366927195575253,0.5523840823693378,0.6045992000030296,1.0661365929380942,0.563950181006744,0.5944673741987972
unfreeze_last_three_blocks,18,3,5e-05,1.0092253859804632,0.5658997305382614,0.6144421232806324,1.054812824518423,0.5709085715978889,0.6027362628156356
unfreeze_last_three_blocks,19,4,5e-05,0.9745272663850303,0.5877436171912879,0.6305057710501205,1.0414531369657882,0.570402989339451,0.6082385276486083
unfreeze_last_three_blocks,20,5,5e-05,0.9477183739556502,0.6024320771999513,0.6440120211707359,1.0284248149353452,0.5789502853436111,0.6135476843852954
unfreeze_all,21,1,1e-05,0.9090005779691726,0.618046801463671,0.6584485459418545,1.0114019680521629,0.5892290253083508,0.6255568061726026
unfreeze_all,22,2,1e-05,0.8915273789175847,0.626957824756761,0.6622163831890514,1.0006610224886638,0.5896939953774053,0.6263361207529532
unfreeze_all,23,3,1e-05,0.868176548929147,0.6422100816745269,0.6742519868795106,0.9926413354973345,0.5961913399101402,0.6336288255019067
unfreeze_all,24,4,1e-05,0.8552735121729315,0.6531629215826388,0.6819378125999364,0.9863587298875071,0.6014555540874721,0.6383935535279447
unfreeze_all,25,5,1e-05,0.8420848024948411,0.6597970781588466,0.6860378928408624,0.9790255117914818,0.6114273702042219,0.6425958079962433
