true_emotion,predicted_emotion,count,true_class_rate
fear,sad,196,0.19140625
sad,neutral,196,0.15717722534081796
neutral,sad,179,0.14517437145174372
sad,fear,158,0.12670408981555734
sad,angry,134,0.107457898957498
fear,angry,114,0.111328125
angry,sad,113,0.11795407098121086
fear,surprise,101,0.0986328125
fear,neutral,98,0.095703125
angry,fear,95,0.09916492693110647
