true_emotion,predicted_emotion,count,true_class_rate
fear,sad,282,0.275390625
neutral,happy,242,0.19626926196269262
sad,neutral,222,0.17802726543704891
sad,happy,221,0.17722534081796312
neutral,sad,219,0.17761557177615572
angry,sad,184,0.19206680584551147
fear,neutral,153,0.1494140625
angry,happy,147,0.1534446764091858
fear,surprise,124,0.12109375
sad,angry,122,0.09783480352846832
