true_emotion,predicted_emotion,count,true_class_rate
fear,sad,280,0.2734375
sad,neutral,275,0.22052927024859664
neutral,sad,204,0.1654501216545012
angry,sad,162,0.16910229645093947
fear,angry,161,0.1572265625
sad,angry,155,0.12429831595829992
fear,surprise,150,0.146484375
fear,neutral,129,0.1259765625
neutral,angry,94,0.07623682076236821
happy,neutral,93,0.052423900789177004
