,precision,recall,f1-score,support
angry,0.5891647855530474,0.5448851774530271,0.5661605206073753,958.0
disgust,0.49375,0.7117117117117117,0.5830258302583026,111.0
fear,0.5362776025236593,0.33203125,0.4101326899879373,1024.0
happy,0.8661417322834646,0.8680947012401353,0.8671171171171171,1774.0
sad,0.5236593059936908,0.5324779470729751,0.5280318091451293,1247.0
surprise,0.7123848515864892,0.8375451263537906,0.7699115044247787,831.0
neutral,0.5633898305084746,0.6739659367396593,0.6137370753323486,1233.0
macro avg,0.6121097297784036,0.6429588357959,0.6197309352675698,7178.0
weighted avg,0.6470555084806864,0.6508776818055169,0.6436791900640435,7178.0
