,precision,recall,f1-score,support
angry,0.35,0.3111111111111111,0.32941176470588235,135.0
disgust,0.8888888888888888,0.5423728813559322,0.6736842105263158,177.0
fear,0.6153846153846154,0.32,0.42105263157894735,75.0
happy,0.9366515837104072,1.0,0.9672897196261683,207.0
sad,0.4649122807017544,0.6309523809523809,0.5353535353535354,84.0
surprise,0.9516129032258065,0.9477911646586346,0.9496981891348089,249.0
micro avg,0.7741176470588236,0.7098166127292341,0.7405740011254924,927.0
macro avg,0.7012417119852454,0.6253712563463432,0.6460816751542763,927.0
weighted avg,0.7773768088429418,0.7098166127292341,0.7302752523125721,927.0
