,precision,recall,f1-score,support
angry,0.463302752293578,0.5287958115183246,0.4938875305623472,191.0
disgust,0.0,0.0,0.0,22.0
fear,0.35638297872340424,0.3284313725490196,0.34183673469387754,204.0
happy,0.7654639175257731,0.8389830508474576,0.8005390835579514,354.0
sad,0.411522633744856,0.40160642570281124,0.4065040650406504,249.0
surprise,0.7051282051282052,0.6626506024096386,0.6832298136645962,166.0
neutral,0.5481171548117155,0.532520325203252,0.5402061855670103,246.0
macro avg,0.4642739488896474,0.47042679831864337,0.4666004875837761,1432.0
weighted avg,0.5492488953136905,0.5628491620111732,0.5551567253543321,1432.0
