,precision,recall,f1-score,support
angry,0.5828988529718456,0.5835073068893528,0.5832029212310903,958.0
disgust,0.47878787878787876,0.7117117117117117,0.572463768115942,111.0
fear,0.5304878048780488,0.33984375,0.4142857142857143,1024.0
happy,0.8724489795918368,0.8675310033821871,0.8699830412662521,1774.0
sad,0.5376254180602007,0.5156375300721732,0.5264019647973802,1247.0
surprise,0.7217030114226376,0.8363417569193743,0.7748049052396878,831.0
neutral,0.5742372881355933,0.6869424168694241,0.6255539143279173,1233.0
macro avg,0.6140270334068632,0.6487879251206033,0.623813747037712,7178.0
weighted avg,0.6520890544396757,0.6561716355530789,0.6494043558314283,7178.0
