,precision,recall,f1-score,support
angry,0.5708661417322834,0.605427974947808,0.5876393110435664,958.0
disgust,0.6632653061224489,0.5855855855855856,0.6220095693779905,111.0
fear,0.5511363636363636,0.4736328125,0.509453781512605,1024.0
happy,0.8795599305153445,0.8562570462232244,0.8677520708369038,1774.0
sad,0.575152041702867,0.5308740978348035,0.5521267723102585,1247.0
surprise,0.7711386696730552,0.8231046931407943,0.7962747380675204,831.0
neutral,0.594785059901339,0.6845093268450932,0.6365007541478129,1233.0
macro avg,0.657986216183386,0.6513416481539014,0.6531081424709512,7178.0
weighted avg,0.673811085987338,0.6741432153803287,0.6726227626613993,7178.0
