epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,1.2370204213852254,0.46347077672362225,0.5501287378553772,1.0599132345943916,0.5120261020107113,0.6085300574389876
2,0.9842060714864367,0.5350506340247757,0.6321316712309005,1.0125119753415577,0.5282903086284048,0.6186311416924889
3,0.9350057882192108,0.5587165368076717,0.6489181900264833,0.9974047208081555,0.5545010046052499,0.6304643551204004
4,0.9001368381432776,0.5844094221591399,0.664297247568056,0.9931123519193005,0.5607029548145059,0.623073135044546
5,0.8796840024887628,0.602703620106676,0.671436620830182,0.9900138249380663,0.5808574391142522,0.6277671943149853
6,0.8627692528279224,0.6186372100501373,0.6773215214092093,0.9906714200973511,0.5982376999638068,0.6335163169556617
7,0.8494781147765184,0.6332065092975461,0.6827820128874276,0.9898359542939721,0.60637119212112,0.6324139670392106
8,0.8360127577578128,0.6445819288358781,0.6883062714221264,0.9805014614444161,0.6113240756737975,0.6380377600479755
9,0.8168886075692859,0.6572834059210841,0.6994208800818255,0.9845129524789206,0.6135968107678141,0.6368657635429196
10,0.8179062412358036,0.6607785064778678,0.697936744609623,0.9888902867712626,0.6119019961950407,0.6372553696007532
