epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,1.9015387604861185,0.15918390399084426,0.18028681856014203,1.748477226516511,0.17591053845787877,0.21542928322016772
2,1.7801743245695973,0.20381732949350004,0.2296569302727754,1.5743226794000287,0.22414668816397712,0.2791855067975747
3,1.6594596830673496,0.25913395441806186,0.2962300842148424,1.4081325324985623,0.327484247923138,0.4075469919442012
4,1.5724525731886645,0.3065856680611083,0.3420201851638105,1.3463475074502234,0.3835647058305854,0.44423910543573486
5,1.5085650185155741,0.3496211043934255,0.38813144692616136,1.292752431078655,0.3976070169861838,0.4741893332098573
6,1.4889056439914405,0.36411154355632647,0.39304462021830067,1.2792359468413563,0.4032079455146759,0.4790856047747567
7,1.4567069172365543,0.3767552214092601,0.408382250346422,1.23676264402343,0.4033289629259347,0.4801357881252234
8,1.4461550383962913,0.37734815248939796,0.41103328859781707,1.2573274251891347,0.42389727212152606,0.49686777780577845
9,1.4348581827546363,0.3856103807433392,0.41532696779474754,1.2148096678564357,0.42851041418617347,0.5089124243264042
10,1.4070442209829142,0.400018242699926,0.4323402788561607,1.2026205377711652,0.46626879326494564,0.5376875166468552
11,1.4020751076607545,0.40318873298501223,0.4340305583558885,1.1862489476851885,0.4602487912308203,0.5233300076397721
12,1.3894277896908416,0.4116725841879517,0.4420170270864003,1.1740711640813208,0.4650933229304154,0.5317221920383649
13,1.3800263498408807,0.41271100275517264,0.4423079579197825,1.1466866980030976,0.4632743112816713,0.5504737730595939
14,1.3620487133772632,0.4266898369059645,0.4536080983462113,1.1567141190638526,0.49307919127633854,0.5472849830748512
15,1.349665451245419,0.4336511087872646,0.4593438611997425,1.145515851775113,0.4791812997447524,0.5362406336567532
16,1.344499124619396,0.44437043911988156,0.46394902688032286,1.1592360440031577,0.4963673675521805,0.5464906776034567
17,1.3302393379888324,0.449775686301682,0.4673446186831717,1.139625751681444,0.5059636282459284,0.5575534764959944
18,1.3229517183592088,0.45192795905645067,0.4744523043335842,1.1384203791202985,0.5002321971704143,0.5442053161362704
19,1.304065489774518,0.4611249529881925,0.4790478579065065,1.1262651750850345,0.5035238303189937,0.5500460925281249
20,1.3051572899279744,0.45905290455125947,0.47753922949795696,1.113836422282229,0.5173827031948385,0.5606959738624469
21,1.3085857433515962,0.45982994709567276,0.4774279867894137,1.111897747358794,0.5286842513084636,0.5740800153109614
22,1.29217941436039,0.47767108689380816,0.49208494322481855,1.103415550005976,0.5349372930553352,0.575784210002238
23,1.3029050537111442,0.4698425910663171,0.4873287316817507,1.099200708608594,0.520813185926569,0.5603464394151718
24,1.2734403566493122,0.4811315750167526,0.49539951785720016,1.0778616712483795,0.538066965466316,0.5833757182441425
25,1.2685159658692726,0.48606807097278865,0.49890426112062297,1.0813352601453403,0.5366143599292739,0.5836490557121938
26,1.2632392899134455,0.48827587391143573,0.5021234356271126,1.0811037567849775,0.5392361479209068,0.577528282947255
27,1.2735081514691582,0.4867709531879801,0.5000293462725701,1.0712973505777765,0.5408666688730895,0.5779816104091645
28,1.2561172131963538,0.49189343363531457,0.5045908382004761,1.0487080638832331,0.5394849204894797,0.5997692205002838
29,1.2439175290198485,0.49720017856631593,0.5089212416743866,1.069543115602553,0.5520810656748709,0.5790647758381873
30,1.24997093418332,0.4968803520145781,0.5085651008742071,1.0441928242972505,0.5660967021611583,0.5989348269725742
