stage,stage_epoch,epoch,lr,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
continue_unfreeze_last_block,1,11,0.0005,1.1399644310017931,0.5045999948612659,0.5614080002292589,1.2084664152889717,0.47983606207508533,0.5286858010341987
continue_unfreeze_last_block,2,12,0.0005,1.1148911328123627,0.5228256996664074,0.5729508944873429,1.2408324694384265,0.4767449676977506,0.5303760717937512
continue_unfreeze_last_block,3,13,0.0005,1.0951656249752493,0.5373702567926909,0.5806994040229037,1.2231687768411137,0.48238912160283137,0.5338392342459043
continue_unfreeze_last_block,4,14,0.0005,1.0694462263139852,0.543046636408204,0.5876929080677068,1.2129287010285912,0.5010477498555214,0.5444380005378641
continue_unfreeze_last_block,5,15,0.0005,1.0563578476887923,0.5542687524842934,0.5955802811272293,1.222246322482305,0.5006416588298477,0.5349807243646851
continue_unfreeze_last_block,6,16,0.0005,1.0475634700687564,0.565851410713419,0.5989753318523244,1.230160388630857,0.5117939365319806,0.5474399066903096
continue_unfreeze_last_block,7,17,0.0005,1.0376821027100467,0.5684321339165765,0.6021855937966472,1.2251477679309113,0.5072523059784932,0.5442340948715737
continue_unfreeze_last_block,8,18,0.0005,1.0273898660714489,0.5759150273586113,0.6092027998347952,1.2342238024967473,0.4989640775614735,0.535486533866876
continue_unfreeze_last_block,9,19,0.0005,1.0202810446947248,0.5844175974101067,0.6123530501593141,1.251180817856606,0.5040109161512368,0.5317941048704645
continue_unfreeze_last_block,10,20,0.0005,1.1857257919500863,0.5096587430354723,0.5492732531986546,1.2139939068086472,0.49612662491156584,0.5418389704742572
continue_unfreeze_last_block,11,21,0.0005,1.1671494221723302,0.5098853809667538,0.5517102526347425,1.1898779393903884,0.5067799639980213,0.5447521498431723
continue_unfreeze_last_block,12,22,0.0005,1.1554014779930952,0.5120070848479723,0.5545626592049802,1.1848164912300243,0.5153775626740408,0.5452386049753275
continue_unfreeze_last_block,13,23,0.0005,1.1475333467352533,0.5242159152264204,0.5595131751077461,1.1867579847262713,0.5239894027435941,0.55374885495866
continue_unfreeze_last_block,14,24,0.0005,1.145276129045069,0.5170423400924239,0.5575998219650994,1.1773727811587398,0.5159303006544323,0.554139094973002
continue_unfreeze_last_block,15,25,0.0005,1.1410242807450386,0.5266801982788822,0.5634147271296677,1.1879075140903221,0.5101236879169478,0.5521205295537671
