stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_last_three_blocks,1,5e-05,1,1.6466000468845619,0.29345331047471107,0.3523280124206033,1.3512956307740163,0.38695763535669647,0.46615039664012736
unfreeze_last_three_blocks,2,5e-05,2,1.3416457019901722,0.39502133172766235,0.47742839138559234,1.2155204060185663,0.4501261940828122,0.5382748032102322
unfreeze_last_three_blocks,3,5e-05,3,1.2318601033198464,0.4380559476524274,0.525383040124984,1.1418690369934985,0.46575499416246136,0.5575123154373776
unfreeze_last_three_blocks,4,5e-05,4,1.1690219545185374,0.4565683959519044,0.5462731174849035,1.0976567582386296,0.4808489013819145,0.5737060058624691
unfreeze_last_three_blocks,5,5e-05,5,1.1150967054467824,0.4769631694069073,0.5688513647824971,1.0642288363353716,0.49629424051697596,0.5834959868583433
unfreeze_last_three_blocks,6,5e-05,6,1.08161770213734,0.4933096887029966,0.5843981960966592,1.0392733857191399,0.5167248488106512,0.5999124430215121
unfreeze_last_three_blocks,7,5e-05,7,1.0426013149562425,0.5113925322691706,0.6016243444561209,1.0144903285993516,0.5354180419039585,0.6097108806608841
unfreeze_last_three_blocks,8,5e-05,8,1.0133303582582953,0.5296204458712941,0.6146343160010108,1.0072732768823045,0.5446897343265128,0.615641089335787
unfreeze_last_three_blocks,9,5e-05,9,0.9829283026360087,0.5474609058202943,0.6249938673540234,0.9891519507879994,0.5819936070719604,0.6273480133683423
unfreeze_last_three_blocks,10,5e-05,10,0.9612736048318823,0.567599816302132,0.6355837323217359,0.9900176998630218,0.5768554694944849,0.6233501296433188
unfreeze_last_three_blocks,11,5e-05,11,0.933200257186841,0.5902160253823948,0.6491219673159571,0.9777769631625053,0.5891369382280153,0.6324361198934142
unfreeze_last_three_blocks,12,5e-05,12,0.9128185678360664,0.6030077573779106,0.6588532289063612,0.9684436572968752,0.5967884438019985,0.6372417079041319
unfreeze_last_three_blocks,13,5e-05,13,0.8905361855983679,0.6104964600784412,0.6631373627193713,0.965182626496624,0.606952081745047,0.6453577871840508
unfreeze_last_three_blocks,14,5e-05,14,0.8769973256306648,0.6243044324580637,0.6728881871657064,0.9679490244347044,0.6033555822683164,0.6434862395272638
unfreeze_last_three_blocks,15,5e-05,15,0.8570931165934098,0.6366144072114738,0.678009545586576,0.9688930530165961,0.6137599511906416,0.6452101892047102
unfreeze_last_three_blocks,16,5e-05,16,0.8242061340941277,0.6504008305282468,0.6920452428150682,0.9636973638567775,0.6108626450663774,0.6389400469788524
unfreeze_last_three_blocks,17,5e-05,17,0.8148739636394187,0.6563719403869711,0.6953890060320689,0.9598372883082267,0.6174699669015302,0.642343571826611
unfreeze_last_three_blocks,18,5e-05,18,0.7930831140471463,0.6646399636336715,0.7040074043768458,0.9703379242262359,0.6184042628619041,0.6442818577485588
unfreeze_last_three_blocks,19,5e-05,19,0.7695004579715395,0.6835983834145479,0.7139243542127288,0.9758663147584071,0.6182348221531969,0.6427697732188266
unfreeze_last_three_blocks,20,5e-05,20,0.7556432274626276,0.6885281987341383,0.7204140122778439,0.9716206403974872,0.6189548627039612,0.6454903345705161
unfreeze_last_three_blocks,21,5e-05,21,0.7396225841948988,0.7047523660075472,0.7265177374085177,0.9609108817286608,0.6306935819485806,0.6530488622130605
unfreeze_last_three_blocks,22,5e-05,22,0.72293795046457,0.7111753527785029,0.733184163801288,0.9792937752677173,0.617598518435443,0.6459595644913892
unfreeze_last_three_blocks,23,5e-05,23,0.710319039336188,0.7104334136952005,0.7361711295574397,0.9827777851749381,0.6198035937606609,0.651607115195019
unfreeze_last_three_blocks,24,5e-05,24,0.6862606567178303,0.7191616232694642,0.7466462522184748,0.985601572541825,0.6365316676293881,0.6553614688633155
unfreeze_last_three_blocks,25,5e-05,25,0.6712047895289385,0.7366631740613732,0.7536638666033056,0.9896918710100526,0.617137945557202,0.6435720175489303
unfreeze_last_three_blocks,26,5e-05,26,0.6599747609592055,0.7376779484065376,0.7557439156283458,0.9968188732758632,0.6204745704710727,0.6479021478370408
unfreeze_last_three_blocks,27,5e-05,27,0.6437948779049634,0.7441565831240646,0.7624633475992253,1.0154234746607338,0.6217170113667704,0.6501506009365374
unfreeze_last_three_blocks,28,5e-05,28,0.6200033505706901,0.7528278793296261,0.7698757864792727,1.045142118565297,0.6278391666370796,0.6475552587861054
unfreeze_last_three_blocks,29,5e-05,29,0.6071511604149343,0.7574351496266631,0.7767732283383141,1.0415028194517209,0.6310532659153424,0.6546386385280942
unfreeze_last_three_blocks,30,5e-05,30,0.6005318284546832,0.766563817453725,0.7805124245540142,1.0390671269403517,0.6288526078238454,0.6512909805216702
