true_emotion,predicted_emotion,count,true_class_rate
sad,neutral,217,0.1740176423416199
fear,sad,191,0.1865234375
neutral,sad,156,0.12652068126520682
sad,angry,146,0.11708099438652766
sad,fear,140,0.11226944667201283
fear,angry,123,0.1201171875
fear,neutral,107,0.1044921875
neutral,happy,102,0.0827250608272506
fear,surprise,101,0.0986328125
neutral,angry,99,0.08029197080291971
