,precision,recall,f1-score,support
angry,0.5801312089971884,0.6461377870563675,0.611358024691358,958.0
disgust,0.7912087912087912,0.6486486486486487,0.7128712871287128,111.0
fear,0.5690866510538641,0.474609375,0.5175718849840255,1024.0
happy,0.8854700854700854,0.8759864712514093,0.8807027486540097,1774.0
sad,0.5526729559748428,0.5637530072173216,0.5581579992060341,1247.0
surprise,0.7879490150637312,0.8182912154031288,0.8028335301062574,831.0
neutral,0.6355799373040752,0.6577453365774534,0.6464726982861698,1233.0
macro avg,0.6860140921532255,0.669310263022047,0.675709739008081,7178.0
weighted avg,0.6860960443941327,0.6861242685984954,0.6850722363299716,7178.0
