true_emotion,predicted_emotion,count,true_class_rate
sad,neutral,280,0.22453889334402566
fear,neutral,163,0.1591796875
sad,fear,162,0.12991178829190056
fear,sad,161,0.1572265625
angry,neutral,158,0.1649269311064718
sad,angry,141,0.11307137129109864
fear,angry,138,0.134765625
neutral,happy,130,0.10543390105433902
neutral,sad,122,0.0989456609894566
sad,happy,114,0.09141940657578188
