,precision,recall,f1-score,support
angry,0.5237467018469657,0.4144050104384134,0.4627039627039627,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.3927893738140417,0.2021484375,0.26692456479690524,1024.0
happy,0.8172043010752689,0.8568207440811725,0.8365437534397359,1774.0
sad,0.42077151335311574,0.5685645549318364,0.48362892223738063,1247.0
surprise,0.7144495412844036,0.7496991576413959,0.731650029359953,831.0
neutral,0.535230352303523,0.6407137064071371,0.5832410483573274,1233.0
macro avg,0.4863131119539027,0.49033594442856504,0.4806703258421806,7178.0
weighted avg,0.5756526552816128,0.5915296740039008,0.5754879384615823,7178.0
