,precision,recall,f1-score,support
angry,0.6015625,0.6430062630480167,0.6215943491422805,958.0
disgust,0.6875,0.6936936936936937,0.6905829596412556,111.0
fear,0.6,0.48046875,0.5336225596529284,1024.0
happy,0.8959907030796049,0.8692220969560316,0.8824034334763948,1774.0
sad,0.5764984227129337,0.5862068965517241,0.5813121272365805,1247.0
surprise,0.7684782608695652,0.8507821901323707,0.8075385494003426,831.0
neutral,0.6382330540746383,0.6796431467964315,0.6582875098193244,1233.0
macro avg,0.6811804201052489,0.686146148168324,0.6821916411955866,7178.0
weighted avg,0.6967034279524777,0.6969908052382279,0.695400465853042,7178.0
