epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,1.850730518179369,0.13237716327139779,0.17662303350265574,1.7651440813150971,0.08388830998586903,0.1262200017846984
2,1.7282163119130636,0.1878249119965226,0.23546662720897985,1.579640423213148,0.2453624924842563,0.3063449105640846
3,1.5948171656199748,0.2514781597101329,0.31387706582474395,1.4194360443939316,0.31055968642931514,0.3904812709534558
4,1.509801969194547,0.29035736452437405,0.36045929642931973,1.3461671427151882,0.3285829134887089,0.41192130673526695
5,1.4624922014001565,0.3127267097130447,0.386167540668522,1.3067035152521698,0.3537112328430164,0.4354464518254211
6,1.424200408271123,0.33478462938828735,0.41185074813378203,1.2793203629683119,0.3659612910332592,0.4493453297794818
7,1.405803049093725,0.34414311771980005,0.4216477374267106,1.2519750544418442,0.40432484251322215,0.4943042190532734
8,1.385239667413386,0.3515285475173609,0.43107892359458855,1.2262954296550683,0.39122230232014654,0.4781843016241998
9,1.367693036050729,0.36521261682460887,0.44537187106553877,1.2196136776993913,0.3991473970139316,0.4879378873884018
10,1.3581792451708008,0.36992338980818085,0.4511566518371414,1.2019196636585407,0.411641847203541,0.5004880345739743
11,1.3409748505344654,0.37753375802219324,0.45933841261251845,1.1865421233692235,0.4354825332914071,0.5257528269576234
12,1.3339114794029328,0.3852331504038764,0.46756666374870387,1.180310241685927,0.44798015850023865,0.541330691702623
13,1.330376322887931,0.3845053611495179,0.4674382398375975,1.1623851663974936,0.44406539747754276,0.5374009253515363
14,1.3083351727558772,0.3922671752105574,0.4758408380260979,1.1541595251302685,0.4584230183923375,0.552658693360208
15,1.2998954890852876,0.3956524227705501,0.4792794872487674,1.1555019098707193,0.45316161828800905,0.5443571485783836
16,1.2975509659120776,0.39727514184455476,0.4815419736678599,1.1403396390456355,0.45939217632157686,0.5534188000423241
17,1.2908400246139151,0.3965630935640058,0.48187895637626355,1.1462919604072173,0.45146947100955476,0.5435731724442739
18,1.280185031837352,0.4053651854185937,0.49190395074780535,1.1399318745742693,0.46683570954319836,0.5611421133308112
19,1.277905204379248,0.4041575860437218,0.48934938284874113,1.125194010418882,0.4630083030760693,0.5570890915076638
20,1.2742323413842456,0.40670725559899035,0.49270126752460064,1.1194487155522204,0.4750438682419326,0.5696436135617878
21,1.267967724754897,0.4108396773815513,0.49772427124416574,1.1173507304141745,0.46356067486319386,0.5571750959966454
22,1.2547417187119578,0.41457603853810865,0.5022803434495038,1.1121885841316463,0.4694387138580845,0.5647649458014622
23,1.2592090768403297,0.4129427286003781,0.500149564471934,1.1334046153656696,0.4666159153647283,0.5580996055573044
24,1.2508306417576305,0.42018397634317095,0.507790753235221,1.0884827774991557,0.47940090037614397,0.5758140046544467
25,1.2393011260943367,0.42273466752516775,0.5105897113126605,1.0879750712823368,0.4725005966084255,0.5679887173041912
26,1.23741830981891,0.42329102281596026,0.5113599470437566,1.0919251135417394,0.4637534608715757,0.5579668877965632
27,1.2379389432862593,0.41975525838464794,0.508094025263322,1.1069990393176727,0.4716434273567306,0.5670391093679518
28,1.2318247798620499,0.4258211370873491,0.5149441150178075,1.0772293362467962,0.484516699866606,0.5795381047846915
29,1.2277948193295627,0.4289774105716605,0.5174160272045825,1.083949542377884,0.47831391187495537,0.5754870951441342
30,1.2239952499852922,0.42857738856133626,0.5177286261014661,1.084674516621367,0.46891210975552117,0.5642163546661163
