true_emotion,predicted_emotion,count,true_class_rate
sad,neutral,232,0.18604651162790697
sad,fear,199,0.1595829991980754
fear,sad,173,0.1689453125
neutral,sad,155,0.12570965125709652
sad,angry,153,0.1226944667201283
fear,angry,136,0.1328125
angry,fear,121,0.12630480167014613
neutral,angry,108,0.08759124087591241
angry,sad,105,0.10960334029227557
fear,neutral,104,0.1015625
