,precision,recall,f1-score,support
angry,0.5282112845138055,0.4592901878914405,0.49134561697375767,958.0
disgust,0.4838709677419355,0.40540540540540543,0.4411764705882353,111.0
fear,0.43315508021390375,0.158203125,0.2317596566523605,1024.0
happy,0.8116019159127196,0.8596392333709132,0.8349301943607993,1774.0
sad,0.43737166324435317,0.51242983159583,0.47193500738552435,1247.0
surprise,0.6866734486266531,0.8122743682310469,0.7442116868798236,831.0
neutral,0.5228295819935691,0.6593673965936739,0.5832137733142038,1233.0
macro avg,0.5576734203209913,0.5523727925840443,0.5426532008792435,7178.0
weighted avg,0.5856430291758582,0.5989133463360268,0.5801355796889837,7178.0
