,precision,recall,f1-score,support
angry,0.5350877192982456,0.5730688935281837,0.5534274193548387,958.0
disgust,0.4864864864864865,0.6486486486486487,0.555984555984556,111.0
fear,0.5656324582338902,0.2314453125,0.3284823284823285,1024.0
happy,0.8369028006589786,0.859075535512965,0.8478442280945758,1774.0
sad,0.476628895184136,0.5396952686447474,0.5062053403535164,1247.0
surprise,0.7613908872901679,0.7641395908543923,0.7627627627627628,831.0
neutral,0.5500658761528326,0.6772100567721006,0.6070519810977826,1233.0
macro avg,0.6017421604721054,0.6133261866372911,0.5945369451614801,7178.0
weighted avg,0.6319017171381222,0.6303984396767902,0.6193826032923043,7178.0
