,precision,recall,f1-score,support
angry,0.14007782101167315,0.26666666666666666,0.1836734693877551,135.0
disgust,0.25,0.02824858757062147,0.050761421319796954,177.0
fear,0.0821917808219178,0.08,0.08108108108108109,75.0
happy,0.21003134796238246,0.32367149758454106,0.25475285171102663,207.0
sad,0.0,0.0,0.0,84.0
surprise,0.25210084033613445,0.24096385542168675,0.2464065708418891,249.0
micro avg,0.1918412348401323,0.18770226537216828,0.18974918211559433,927.0
macro avg,0.15573363168868465,0.15659176787391932,0.13611256572359148,927.0
weighted avg,0.18940074182322583,0.18770226537216828,0.1660742691109439,927.0
