epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
1,0.5953294958735754,0.6616930662736304,0.6974508074964809,0.7613367989088184,0.6021354633288701,0.6291433264390053
2,0.5794046316299466,0.6705839283513025,0.7022094954050525,0.7504579067645588,0.6033888569049145,0.6344595260113981
3,0.5723339643653339,0.67513000298263,0.7086252368181432,0.7509825898379814,0.6071530583754322,0.6330783861494553
4,0.564247861806165,0.6841665808544679,0.7126179264708965,0.7436470695488959,0.6053210047629703,0.6309638997546423
5,0.5555589934303146,0.6827933590062712,0.7120242303468362,0.7397763017162629,0.6093710351810037,0.6371258516171825
6,0.5521525539103997,0.6879261636732343,0.7135998496401181,0.7398004349515829,0.6177360321327797,0.6395682315659283
7,0.5444756029924513,0.6908991677659336,0.7176384505934804,0.7401282425541496,0.6067120501736375,0.6345283091201362
8,0.5455382247242222,0.6922736908970012,0.7171691707735317,0.73878976318479,0.617895048986479,0.6414529782076337
9,0.5332842998146351,0.694762450084222,0.7209013966224576,0.7454032861397242,0.6165242698946074,0.6388666233482898
10,0.5229197434861573,0.7029494161127177,0.7265313948837531,0.7452561104339174,0.6179252766414439,0.6408002267419529
11,0.5199606081232889,0.7034344099551522,0.7289885659566993,0.7430786147765581,0.6115822212272181,0.6398631742217611
12,0.5106683915288572,0.7151923536154678,0.7342231384459993,0.7392198056294113,0.6140973764704765,0.6433129621189231
13,0.5080735680350089,0.7148110310177892,0.7341576491180372,0.7458369228067299,0.6221678566882147,0.6492012832595688
14,0.4916513517151224,0.7241517237583921,0.7414268254594035,0.7502234075127578,0.6148548397481716,0.6415627285687366
15,0.4958033833236507,0.7150293714969939,0.7362283401609594,0.7571137999823699,0.6131068284537747,0.6431005193124545
