stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_last_block,1,0.0005,1,1.5694772514877473,0.30928631074021945,0.3714408626234921,1.3934898500243131,0.3822216687428616,0.45673583123551675
unfreeze_last_block,2,0.0005,2,1.431308550746814,0.36250076992558006,0.43336756961862427,1.3389895465731205,0.39147031107604763,0.4671976993043591
unfreeze_last_block,3,0.0005,3,1.3730282428127227,0.3850954613368695,0.4598736697461715,1.293595330640414,0.4115759919774883,0.48454782690119846
unfreeze_last_block,4,0.0005,4,1.3320465037095537,0.4029157786472052,0.4776831792078295,1.2665876942644552,0.43043218395531696,0.5065851626601496
unfreeze_last_block,5,0.0005,5,1.307312286685802,0.4116770166385237,0.48560290051122723,1.2585430823136705,0.43240132248268937,0.5072505971812842
unfreeze_last_block,6,0.0005,6,1.286553148187311,0.426006038556781,0.500681722486994,1.2427207756540917,0.4423786464386988,0.5134094158355655
unfreeze_last_block,7,0.0005,7,1.2681458280700948,0.4383747913028276,0.5063501427273603,1.2312718866594161,0.45631287166962986,0.5233653114218123
unfreeze_last_block,8,0.0005,8,1.254201597549943,0.447598543819327,0.5135251989526356,1.2237781749785155,0.46327119603564243,0.5268377100053472
unfreeze_last_block,9,0.0005,9,1.234469928383998,0.46338994404160283,0.5216113376135101,1.2167405035437606,0.46391321463964,0.5175576235061812
unfreeze_last_block,10,0.0005,10,1.2267584190810077,0.46561263002157977,0.5219627361137787,1.2261487364353618,0.46059901882357307,0.5287295816930521
