stage,stage_epoch,lr,epoch,train_loss,train_macro_f1,train_weighted_f1,val_loss,val_macro_f1,val_weighted_f1
unfreeze_layer3,1,0.0001,1,1.0545862160963033,0.46725874014080443,0.48738927163768686,0.814437402250044,0.5498988460700388,0.5949757163297514
unfreeze_layer3,2,0.0001,2,0.7633873229956146,0.6148764037342902,0.6181463073235633,0.7548585076365322,0.5800938681389951,0.6179689480615307
unfreeze_layer3,3,0.0001,3,0.6757115266576742,0.6618670583932921,0.655591772676551,0.7194416547486175,0.6144858868660082,0.6390992512886899
unfreeze_layer3,4,0.0001,4,0.6057666581229458,0.6972308736601016,0.6879874275025571,0.7035284825318366,0.6211607297550819,0.6444652684405577
unfreeze_layer3,5,0.0001,5,0.5511022969048672,0.7224187355713202,0.7103606411989709,0.699999965940203,0.6357384302410258,0.651447881973952
unfreeze_layer3,6,0.0001,6,0.5169566998211305,0.7412411232907533,0.7286228478904773,0.6968561383489947,0.6289189285879733,0.6504770559783963
unfreeze_layer3,7,0.0001,7,0.4663103754511466,0.7661466384740996,0.7519394179626152,0.6971825859687885,0.6387958085595438,0.6545772818185565
unfreeze_layer3,8,0.0001,8,0.4234791060833145,0.7856625440793454,0.7730012728693821,0.7151659494493066,0.6161899410626043,0.6386744833554817
unfreeze_layer3,9,0.0001,9,0.38963562753359327,0.8047395332029671,0.7909181103355846,0.7305417053790874,0.6460506900394527,0.6637198605519083
unfreeze_layer3,10,0.0001,10,0.3719873048396546,0.8138347487775218,0.8018049891204148,0.7523263076871946,0.6481851014413695,0.6538549833448847
