,precision,recall,f1-score,support
angry,0.5819672131147541,0.5259259259259259,0.5525291828793775,135.0
disgust,0.8758169934640523,0.7570621468926554,0.8121212121212121,177.0
fear,0.9615384615384616,0.3333333333333333,0.49504950495049505,75.0
happy,0.9495412844036697,1.0,0.9741176470588235,207.0
sad,0.5517241379310345,0.5714285714285714,0.5614035087719298,84.0
surprise,0.951417004048583,0.9437751004016064,0.9475806451612904,249.0
micro avg,0.8440797186400938,0.7766990291262136,0.8089887640449438,927.0
macro avg,0.812000849083426,0.6885875129970155,0.7238002834905214,927.0
weighted avg,0.8473605972976024,0.7766990291262136,0.798504245338336,927.0
