,precision,recall,f1-score,support
angry,0.3438735177865613,0.6444444444444445,0.4484536082474227,135.0
disgust,1.0,0.3220338983050847,0.48717948717948717,177.0
fear,0.3333333333333333,0.16,0.21621621621621623,75.0
happy,0.8869565217391304,0.9855072463768116,0.9336384439359268,207.0
sad,0.49019607843137253,0.5952380952380952,0.5376344086021505,84.0
surprise,0.9844559585492227,0.7630522088353414,0.8597285067873304,249.0
micro avg,0.6888633754305397,0.6472491909385113,0.6674082313681868,927.0
macro avg,0.6731359016399368,0.5783793155332962,0.580475111828089,927.0
weighted avg,0.7748963637197168,0.6472491909385113,0.6639536882068504,927.0
